Number,Id,Label,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,eigencentrality
1481,Wolverine,Wolverine,3,0.629429,0.708057,0.025856,1
236,Captain America (Steve Rogers),Captain America (Steve Rogers),2,0.617587,0.690397,0.032748,0.796631
1283,Storm,Storm,2,0.614821,0.686755,0.036297,0.907934
344,Dazzler,Dazzler,3,0.608135,0.680243,0.016008,0.964491
1135,"Roberto da Costa (Sunspot, Citizen X)","Roberto da Costa (Sunspot, Citizen X)",2,0.599921,0.666556,0.011843,0.887049
133,"Barnell Bohusk (Beak, Blackwing)","Barnell Bohusk (Beak, Blackwing)",3,0.595191,0.668102,0.047523,0.772323
830,Magneto,Magneto,3,0.592622,0.665563,0.026484,0.781618
1153,Sabretooth,Sabretooth,3,0.591229,0.656733,0.011105,0.841529
1262,Spider-Woman,Spider-Woman,3,0.590767,0.657837,0.014273,0.741335
141,Beast,Beast,2,0.588924,0.650993,0.005994,0.844897
762,Laura Kinney (X-23),Laura Kinney (X-23),3,0.588465,0.653422,0.009868,0.835503
240,Captain Marvel (Carol Danvers),Captain Marvel (Carol Danvers),3,0.586864,0.65287,0.008008,0.861005
3,Absorbing Man,Absorbing Man,3,0.58618,0.652097,0.015324,0.658143
489,Firestar,Firestar,3,0.581888,0.643819,0.009564,0.815387
646,Iron Man (Tony Stark),Iron Man (Tony Stark),2,0.581216,0.639735,0.012077,0.652758
1139,Rogue,Rogue,3,0.579877,0.640177,0.003995,0.825083
328,Daimon Hellstrom,Daimon Hellstrom,3,0.578988,0.641501,0.022439,0.521209
235,Cannonball,Cannonball,3,0.576997,0.636534,0.005967,0.811812
616,Hulk,Hulk,2,0.575457,0.631126,0.011047,0.586591
591,Hawkeye,Hawkeye,3,0.575457,0.63532,0.00983,0.604772
79,Angel (Warren Worthington III),Angel (Warren Worthington III),3,0.575238,0.635651,0.007132,0.690676
1315,Taskmaster,Taskmaster,3,0.573055,0.637417,0.012677,0.629978
1290,Sunfire,Sunfire,3,0.571537,0.628477,0.014724,0.729288
620,Human Torch (Johnny Storm),Human Torch (Johnny Storm),3,0.57132,0.627263,0.024693,0.543251
1336,The Thing,The Thing,3,0.570026,0.625717,0.008997,0.562646
954,Namor,Namor,3,0.570026,0.62351,0.007314,0.728121
743,"Kitty Pryde (Shadowcat, Star-Lady)","Kitty Pryde (Shadowcat, Star-Lady)",3,0.567456,0.632119,0.008638,0.750767
175,Black Widow,Black Widow,3,0.567456,0.623068,0.005113,0.577606
1261,Spider-Man,Spider-Man,3,0.564486,0.619757,0.006428,0.718678
1178,Scorpion,Scorpion,3,0.562803,0.627263,0.00943,0.518114
953,Mystique,Mystique,3,0.56113,0.623951,0.005533,0.654572
472,Falcon,Falcon,3,0.560921,0.609934,0.00332,0.545014
346,Deadpool,Deadpool,3,0.558639,0.610044,0.018077,0.53576
167,Black Knight,Black Knight,3,0.557196,0.603974,0.00615,0.488741
237,Captain Britain,Captain Britain,3,0.555965,0.600883,0.005293,0.519205
1061,Prodigy,Prodigy,3,0.55576,0.606071,0.001755,0.700083
1231,Skids,Skids,3,0.555556,0.618985,0.021887,0.557648
1067,Psylocke,Psylocke,3,0.555351,0.616446,0.003826,0.628831
1482,Wonder Man,Wonder Man,3,0.555147,0.601987,0.007075,0.421754
1349,Tigra,Tigra,3,0.554943,0.608057,0.006526,0.530461
294,Colossus,Colossus,3,0.553722,0.606954,0.008768,0.601178
1355,Toad,Toad,3,0.552506,0.612252,0.001868,0.626069
