Number,CF,Unique Nodes,Total Nodes,Returned,Return Iteration,,,
1,0.737262737,738,1001,TRUE,709,,0.731348651,
2,0.724275724,725,1001,TRUE,606,,44 returns in 100 trials,
3,0.747252747,748,1001,TRUE,232,,,
4,0.729270729,730,1001,TRUE,937,,,
5,0.724275724,725,1001,TRUE,969,,0.731348651,0.010678389
6,0.743256743,744,1001,TRUE,779,,732.08,10.68906739
7,0.754245754,755,1001,TRUE,77,,,
8,0.713286713,714,1001,TRUE,265,,,
9,0.713286713,714,1001,TRUE,230,,,
10,0.722277722,723,1001,TRUE,148,,,
11,0.717282717,718,1001,TRUE,805,,,
12,0.736263736,737,1001,TRUE,5,,,
13,0.731268731,732,1001,TRUE,289,,,
14,0.708291708,709,1001,TRUE,832,,,
15,0.746253746,747,1001,TRUE,202,,,
16,0.723276723,724,1001,TRUE,221,,,
17,0.735264735,736,1001,TRUE,171,,,
18,0.738261738,739,1001,TRUE,293,,,
19,0.738261738,739,1001,TRUE,206,,,
20,0.742257742,743,1001,TRUE,284,,,
21,0.73026973,731,1001,TRUE,117,,,
22,0.723276723,724,1001,TRUE,58,,,
23,0.724275724,725,1001,TRUE,579,,,
24,0.732267732,733,1001,TRUE,146,,,
25,0.737262737,738,1001,TRUE,236,,,
26,0.739260739,740,1001,TRUE,163,,,
27,0.737262737,738,1001,TRUE,858,,,
28,0.713286713,714,1001,TRUE,540,,,
29,0.746253746,747,1001,TRUE,235,,,
30,0.744255744,745,1001,TRUE,61,,,
31,0.741258741,742,1001,TRUE,968,,,
32,0.716283716,717,1001,TRUE,815,,,
33,0.736263736,737,1001,TRUE,478,,,
34,0.74025974,741,1001,TRUE,716,,,
35,0.748251748,749,1001,TRUE,328,,,
36,0.73026973,731,1001,TRUE,578,,,
37,0.741258741,742,1001,TRUE,770,,,
38,0.753246753,754,1001,TRUE,29,,,
39,0.746253746,747,1001,TRUE,475,,,
40,0.726273726,727,1001,TRUE,903,,,
41,0.74025974,741,1001,TRUE,772,,,
42,0.743256743,744,1001,TRUE,97,,,
43,0.73026973,731,1001,TRUE,582,,,
44,0.74025974,741,1001,TRUE,440,,,
45,0.728271728,729,1001,FALSE,0,,,
46,0.728271728,729,1001,FALSE,0,,,
47,0.721278721,722,1001,FALSE,0,,,
48,0.717282717,718,1001,FALSE,0,,,
49,0.743256743,744,1001,FALSE,0,,,
50,0.706293706,707,1001,FALSE,0,,,
51,0.719280719,720,1001,FALSE,0,,,
52,0.743256743,744,1001,FALSE,0,,,
53,0.74025974,741,1001,FALSE,0,,,
54,0.726273726,727,1001,FALSE,0,,,
55,0.726273726,727,1001,FALSE,0,,,
56,0.739260739,740,1001,FALSE,0,,,
57,0.739260739,740,1001,FALSE,0,,,
58,0.718281718,719,1001,FALSE,0,,,
59,0.716283716,717,1001,FALSE,0,,,
60,0.737262737,738,1001,FALSE,0,,,
61,0.726273726,727,1001,FALSE,0,,,
62,0.732267732,733,1001,FALSE,0,,,
63,0.732267732,733,1001,FALSE,0,,,
64,0.735264735,736,1001,FALSE,0,,,
65,0.721278721,722,1001,FALSE,0,,,
66,0.719280719,720,1001,FALSE,0,,,
67,0.737262737,738,1001,FALSE,0,,,
68,0.729270729,730,1001,FALSE,0,,,
69,0.732267732,733,1001,FALSE,0,,,
70,0.728271728,729,1001,FALSE,0,,,
71,0.733266733,734,1001,FALSE,0,,,
72,0.74025974,741,1001,FALSE,0,,,
73,0.748251748,749,1001,FALSE,0,,,
74,0.72027972,721,1001,FALSE,0,,,
75,0.723276723,724,1001,FALSE,0,,,
76,0.711288711,712,1001,FALSE,0,,,
77,0.723276723,724,1001,FALSE,0,,,
78,0.727272727,728,1001,FALSE,0,,,
79,0.74025974,741,1001,FALSE,0,,,
80,0.738261738,739,1001,FALSE,0,,,
81,0.728271728,729,1001,FALSE,0,,,
82,0.731268731,732,1001,FALSE,0,,,
83,0.73026973,731,1001,FALSE,0,,,
84,0.724275724,725,1001,FALSE,0,,,
85,0.736263736,737,1001,FALSE,0,,,
86,0.726273726,727,1001,FALSE,0,,,
87,0.736263736,737,1001,FALSE,0,,,
88,0.734265734,735,1001,FALSE,0,,,
89,0.717282717,718,1001,FALSE,0,,,
90,0.719280719,720,1001,FALSE,0,,,
91,0.714285714,715,1001,FALSE,0,,,
92,0.73026973,731,1001,FALSE,0,,,
93,0.743256743,744,1001,FALSE,0,,,
94,0.749250749,750,1001,FALSE,0,,,
95,0.734265734,735,1001,FALSE,0,,,
96,0.733266733,734,1001,FALSE,0,,,
97,0.744255744,745,1001,FALSE,0,,,
98,0.717282717,718,1001,FALSE,0,,,
99,0.732267732,733,1001,FALSE,0,,,
100,0.716283716,717,1001,FALSE,0,,,
