Wrd CF,Wrd Unique Nodes,Wrd Total Nodes,Wrd Fnd Dest,Wrd Dest Iteration,Shortest Path Length,Rnd CF,Rnd Unique Nodes,Rnd Total Nodes,Rnd Fnd Dest,Rnd Dest Iteration,,WR,R,Bin Range
1,12,12,TRUE,13,2,0.753655793,670,889,TRUE,890,Y,100,75.3655793,0
0.910569106,112,123,TRUE,124,2,0.594745668,1064,1789,TRUE,1790,Y,91.05691057,59.4745668,5
0.642416769,521,811,TRUE,812,2,0.864640884,313,362,TRUE,363,N,64.24167694,86.4640884,10
0.216756757,1203,5550,TRUE,5551,2,0.892966361,292,327,TRUE,328,N,21.67567568,89.29663609,15
1,15,15,TRUE,16,3,0.544668588,1134,2082,TRUE,2083,Y,100,54.46685879,20
0.966666667,29,30,TRUE,31,3,0.739549839,690,933,TRUE,934,Y,96.66666667,73.95498392,25
0.941176471,32,34,TRUE,35,3,0.854214123,375,439,TRUE,440,Y,94.11764706,85.4214123,30
0.947368421,36,38,TRUE,39,3,0.955555556,86,90,TRUE,91,Y,94.73684211,95.55555556,35
0.911111111,41,45,TRUE,46,3,0.601749271,1032,1715,TRUE,1716,Y,91.11111111,60.17492711,40
0.95,57,60,TRUE,61,3,0.735691988,707,961,TRUE,962,Y,95,73.56919875,45
0.942528736,82,87,TRUE,88,3,0.962025316,152,158,TRUE,159,Y,94.25287356,96.20253165,50
0.901098901,82,91,TRUE,92,3,0.461308411,1234,2675,TRUE,2676,Y,90.10989011,46.13084112,55
0.866359447,188,217,TRUE,218,3,0.726603575,691,951,TRUE,952,Y,86.6359447,72.66035752,60
0.875,196,224,TRUE,225,3,0.946902655,107,113,TRUE,114,N,87.5,94.69026549,65
0.797833935,221,277,TRUE,278,3,0.472124756,1211,2565,TRUE,2566,Y,79.7833935,47.21247563,70
0.842622951,257,305,TRUE,306,3,0.814634146,501,615,TRUE,616,Y,84.26229508,81.46341463,75
0.803278689,245,305,TRUE,306,3,0.804034582,558,694,TRUE,695,Y,80.32786885,80.40345821,80
0.784366577,291,371,TRUE,372,3,0.438172043,1304,2976,TRUE,2977,Y,78.43665768,43.8172043,85
0.793814433,308,388,TRUE,389,3,0.592528736,1031,1740,TRUE,1741,Y,79.3814433,59.25287356,90
0.775510204,304,392,TRUE,393,3,0.838012959,388,463,TRUE,464,Y,77.55102041,83.8012959,95
0.780600462,338,433,TRUE,434,3,0.463084795,1267,2736,TRUE,2737,Y,78.06004619,46.30847953,100
0.72489083,332,458,TRUE,459,3,0.46072342,1261,2737,TRUE,2738,Y,72.48908297,46.07234198,
0.72972973,351,481,TRUE,482,3,1,13,13,TRUE,14,N,72.97297297,100,
0.730703259,426,583,TRUE,584,3,0.845360825,410,485,TRUE,486,N,73.0703259,84.53608247,
0.736754967,445,604,TRUE,605,3,0.653323803,914,1399,TRUE,1400,Y,73.67549669,65.33238027,
0.693679092,428,617,TRUE,618,3,0.157335002,1509,9591,TRUE,9592,Y,69.36790924,15.73350016,
0.714516129,443,620,TRUE,621,3,0.944680851,222,235,TRUE,236,N,71.4516129,94.46808511,
0.67550702,433,641,TRUE,642,3,0.620619946,921,1484,TRUE,1485,Y,67.55070203,62.06199461,
0.695652174,464,667,TRUE,668,3,0.928229665,194,209,TRUE,210,N,69.56521739,92.82296651,
0.647761194,434,670,TRUE,671,3,0.866666667,494,570,TRUE,571,N,64.7761194,86.66666667,
0.673976608,461,684,TRUE,685,3,0.875338753,323,369,TRUE,370,N,67.39766082,87.53387534,
0.657407407,497,756,TRUE,757,3,0.91,273,300,TRUE,301,N,65.74074074,91,
0.650448143,508,781,TRUE,782,3,0.783098592,556,710,TRUE,711,N,65.04481434,78.30985915,
0.603121516,541,897,TRUE,898,3,0.912863071,220,241,TRUE,242,N,60.31215162,91.28630705,
0.571973308,600,1049,TRUE,1050,3,0.794238683,579,729,TRUE,730,N,57.19733079,79.42386831,
0.586565752,620,1057,TRUE,1058,3,0.833333333,435,522,TRUE,523,N,58.65657521,83.33333333,
0.581031308,631,1086,TRUE,1087,3,0.951724138,138,145,TRUE,146,N,58.10313076,95.17241379,
0.55652936,635,1141,TRUE,1142,3,0.961111111,173,180,TRUE,181,N,55.65293602,96.11111111,
0.55817738,686,1229,TRUE,1230,3,0.666420664,903,1355,TRUE,1356,Y,55.817738,66.64206642,
0.53898051,719,1334,TRUE,1335,3,0.532473515,1156,2171,TRUE,2172,Y,53.89805097,53.24735145,
0.494623656,736,1488,TRUE,1489,3,0.717081851,806,1124,TRUE,1125,N,49.46236559,71.70818505,
0.486469478,773,1589,TRUE,1590,3,0.392,1372,3500,TRUE,3501,Y,48.64694777,39.2,
0.46287703,798,1724,TRUE,1725,3,0.718579235,789,1098,TRUE,1099,N,46.28770302,71.8579235,
0.438873239,779,1775,TRUE,1776,3,0.751393534,674,897,TRUE,898,N,43.88732394,75.1393534,
0.337244385,1006,2983,TRUE,2984,3,0.979591837,48,49,TRUE,50,N,33.72443848,97.95918367,
0.325216277,1015,3121,TRUE,3122,3,0.699093157,848,1213,TRUE,1214,N,32.52162768,69.90931575,
0.307123855,1039,3383,TRUE,3384,3,0.154498978,1511,9780,TRUE,9781,Y,30.71238546,15.44989775,
0.30407701,1074,3532,TRUE,3533,3,0.434201954,1333,3070,TRUE,3071,N,30.40770102,43.42019544,
0.302259887,1070,3540,TRUE,3541,3,0.717350746,769,1072,TRUE,1073,N,30.2259887,71.73507463,
0.298050893,1101,3694,TRUE,3695,3,0.988235294,84,85,TRUE,86,N,29.80508933,98.82352941,
0.281475941,1129,4011,TRUE,4012,3,0.877952756,223,254,TRUE,255,N,28.14759412,87.79527559,
0.246517798,1115,4523,TRUE,4524,3,0.865384615,450,520,TRUE,521,N,24.65177979,86.53846154,
0.218836057,1192,5447,TRUE,5448,3,0.776397516,625,805,TRUE,806,N,21.88360565,77.63975155,
0.170471634,1247,7315,TRUE,7316,3,0.899328859,268,298,TRUE,299,N,17.04716336,89.93288591,
0.169585129,1259,7424,TRUE,7425,3,0.461760462,1280,2772,TRUE,2773,N,16.95851293,46.17604618,
0.155472336,1287,8278,TRUE,8279,3,0.512259194,1170,2284,TRUE,2285,N,15.54723363,51.22591944,
0.147384752,1330,9024,TRUE,9025,3,0.674584323,852,1263,TRUE,1264,N,14.73847518,67.4584323,
